danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_id,track_name,track_source_playlist,track_artists_id,track_artists_name,track_artists_followers,track_artists_popularity,release_date,release_date_precision,popularity,generated_timestamp
0.724,0.797,5,-5.233,0,0.231,0.134,0.0,0.0745,0.3,128.279,222772,5,7m5YPuiQy8Hyi9OXnZUQBY,Nuh Ready,6Jq0QdwB0vk7VPcIqpo4pr,58GP6t4N8aiJkHTOM41ECz,Plumpy Boss,21328,31,2021-01-27,day,10,2024-01-08
0.622,0.617,1,-7.076,1,0.199,0.351,0.0,0.173,0.432,184.007,198261,4,1TyJTpAwf250tqIOhEDnbz,Resurrection - Track,6Jq0QdwB0vk7VPcIqpo4pr,2kNL5eBpFCpOQu81GJ4lZb,Jovi Ton,3954,4,2021-02-01,day,2,2024-01-08
0.658,0.701,4,-5.11,0,0.135,0.082,0.0,0.0988,0.321,120.417,176000,5,2cFdUemnNpEF2u8faX7o2q,Brain Guh,6Jq0QdwB0vk7VPcIqpo4pr,"3UwGbC4Sl9MmonrpWo6grS,1XK7JEkEviy2mcbi1ljpaR","Boy Boy,Zebee","29068,3085","41,19",2021-01-22,day,32,2024-01-08
0.653,0.705,9,-5.752,0,0.31,0.221,0.0,0.141,0.202,89.257,176000,4,49U71TC1tAZEzzZ5Ou6nlo,All Now,6Jq0QdwB0vk7VPcIqpo4pr,3iWwLfjZAKzmAB57v38i45,Raskality,5723,15,2021-01-22,day,1,2024-01-08
0.655,0.622,9,-6.831,1,0.405,0.0577,0.0,0.152,0.386,179.93,160000,4,4YtbzksOAixcqQgqMDbKvX,Steamy Demons,6Jq0QdwB0vk7VPcIqpo4pr,0Gkq3acWre3Hu02EAvBiIa,Rheon Elbourne,3987,22,2021-01-22,day,2,2024-01-08
0.621,0.77,2,-1.104,0,0.071,0.441,0.0,0.149,0.722,93.275,144894,4,6UMpt2hrxLYJm2qiiJ3unK,Body Missing,6Jq0QdwB0vk7VPcIqpo4pr,559YLWpCvVYo3qCEhMJ3pq,Lawless,6074,13,2021-01-26,day,1,2024-01-08
0.75,0.632,2,-1.667,1,0.315,0.139,0.0,0.103,0.2,93.864,148085,4,00AlWMvMkY0N4MTqJBnfhd,Brain Fly,6Jq0QdwB0vk7VPcIqpo4pr,2rKUiOCTXp1YYvsPLTed0P,2 Gun,111,1,2021-01-26,day,2,2024-01-08
0.619,0.689,2,-5.202,0,0.301,0.494,0.0,0.146,0.337,93.815,145532,4,0yY4V2vwTqCgjMRz48j0yQ,Gunslinger,6Jq0QdwB0vk7VPcIqpo4pr,0S96v5UXUohZd31g8plQLt,Chosen,355,5,2021-01-26,day,1,2024-01-08
0.633,0.798,2,-1.982,1,0.301,0.458,0.0,0.132,0.41,88.669,148085,4,2eqh6J1Laa8ZrjFQz3PhV8,Cemetery,6Jq0QdwB0vk7VPcIqpo4pr,5uf5X5Wnvl7CGNnZfoEpF6,Lyfe,305,0,2021-01-26,day,0,2024-01-08
0.648,0.767,2,-1.433,1,0.346,0.212,0.0,0.11,0.401,101.498,148085,4,34TNdAfpqgtKhAvLbefqsc,Big Spliff,6Jq0QdwB0vk7VPcIqpo4pr,6krXv9z3sbSwKu4N5JICy4,Warrior,15,0,2021-01-26,day,1,2024-01-08
0.557,0.744,2,-1.89,1,0.358,0.525,0.0,0.147,0.32,87.267,141702,1,7pR00g4OiTtUqvdfa8QswM,Ransom,6Jq0QdwB0vk7VPcIqpo4pr,3aajqT4mg3NqrYWvcE1h7X,Power,15,0,2021-01-26,day,0,2024-01-08
0.786,0.8,2,-1.798,1,0.321,0.347,0.0,0.106,0.348,93.93,145532,4,5QSD2qCHP0FP5EJ7YNZBkc,Trigger Finger,6Jq0QdwB0vk7VPcIqpo4pr,1VqDnAuCZJuWfVQiDt8WwM,Sin Sin,21,0,2021-01-26,day,1,2024-01-08
0.748,0.799,2,-1.568,1,0.239,0.382,0.0,0.109,0.246,94.221,165957,4,6WWWbct2HGo27DqWuaKUtb,Squeeze,6Jq0QdwB0vk7VPcIqpo4pr,3ATKkAzfZsIJuoCnOepK67,Trigger Dan,1834,6,2021-01-26,day,1,2024-01-08
0.519,0.308,7,-11.245,0,0.313,0.659,0.0,0.136,0.505,71.412,148611,5,4BvXBj70lf9DBuoc9cbjot,Baddie,6Jq0QdwB0vk7VPcIqpo4pr,7c8WSGTjxRP9sOob1KukJA,Kalonji,33554,29,2021-02-01,day,14,2024-01-08
