danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,track_id,track_name,track_artists_id,track_artists_name,track_artists_followers,track_artists_popularity,release_date,release_date_precision,popularity,generated_timestamp
0.838,0.715,6,-5.574,0,0.328,0.666,0.0,0.305,0.245,133.444,188082,5,5nhQjFM1HQvNis4UJKNcLe,Loose Cannon,"3UwGbC4Sl9MmonrpWo6grS,3iWwLfjZAKzmAB57v38i45","Boy Boy,Raskality","28641,5666","39,14",2020-03-09,day,30,2023-12-19
0.517,0.707,5,-7.085,0,0.33,0.396,0.0,0.151,0.962,104.873,163248,4,02pEeameBALo1rYgeJMUMB,5 A.M.,7zow5Va8ESrfnxvUF62HRH,Icee Dan,7933,21,2020-01-10,day,11,2023-12-19
0.453,0.688,4,-8.017,0,0.343,0.377,0.0,0.843,0.311,80.687,222316,3,1toycZmQ2NubH2pHPsEvSj,Shadow Boy,7zow5Va8ESrfnxvUF62HRH,Icee Dan,7933,21,2020-05-01,day,12,2023-12-19
0.681,0.843,7,-4.369,1,0.365,0.171,0.0,0.0518,0.731,75.011,158459,3,1EYSTU7jibop13r4YWRsR7,Run Up,"7zow5Va8ESrfnxvUF62HRH,6fanvfSBKMMExePwhUq8Mi","Icee Dan,K Lion","7933,39431","21,29",2019-05-03,day,23,2023-12-19
0.623,0.464,1,-12.393,0,0.843,0.399,0.0,0.193,0.875,80.999,177648,3,166hxLuWumBykweM6qZuQM,IG Gal,7zow5Va8ESrfnxvUF62HRH,Icee Dan,7933,21,2020-06-05,day,1,2023-12-19
0.732,0.627,1,-5.72,1,0.191,0.491,0.0,0.119,0.531,171.992,133669,4,0zEOnRjdV8gJModPpt9rbY,Cap,363rd3ZlAT1FYFhYLFzK6L,Rondo,4023,12,2021-10-30,day,0,2023-12-19
0.878,0.53,2,-5.793,1,0.107,0.312,0.0,0.25,0.325,110.005,123402,4,7v6XmZ5ijbDJeDvP2VXNNI,Beg Please,363rd3ZlAT1FYFhYLFzK6L,Rondo,4023,12,2019-10-21,day,18,2023-12-19
0.647,0.661,8,-4.109,1,0.394,0.299,0.0,0.184,0.535,127.375,204121,5,3lZ35cg1X4ij07O7daezB1,Disrespect.,363rd3ZlAT1FYFhYLFzK6L,Rondo,4023,12,2019-10-22,day,11,2023-12-19
0.778,0.687,9,-3.825,0,0.317,0.0573,0.0,0.228,0.265,180.102,182831,4,7rost6QtzTUZpiajgNiayM,Fuck Time,363rd3ZlAT1FYFhYLFzK6L,Rondo,4023,12,2019-10-21,day,4,2023-12-19
0.571,0.513,5,-1.487,0,0.318,0.388,0.0,0.0771,0.393,86.682,188936,1,6dPC0A0QIVeWiDP5TXxV2Z,Mad Move,363rd3ZlAT1FYFhYLFzK6L,Rondo,4023,12,2020-03-25,day,6,2023-12-19
